[2025-03-30T16:34:37.156+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: kafka_spark_dag.kafka_data_stream manual__2025-03-30T16:34:35.425466+00:00 [queued]>
[2025-03-30T16:34:37.166+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: kafka_spark_dag.kafka_data_stream manual__2025-03-30T16:34:35.425466+00:00 [queued]>
[2025-03-30T16:34:37.166+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 2
[2025-03-30T16:34:37.180+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonOperator): kafka_data_stream> on 2025-03-30 16:34:35.425466+00:00
[2025-03-30T16:34:37.187+0000] {standard_task_runner.py:57} INFO - Started process 87822 to run task
[2025-03-30T16:34:37.191+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'kafka_spark_dag', 'kafka_data_stream', 'manual__2025-03-30T16:34:35.425466+00:00', '--job-id', '179', '--raw', '--subdir', 'DAGS_FOLDER/dag_kafka_spark.py', '--cfg-path', '/tmp/tmptbvc9frk']
[2025-03-30T16:34:37.194+0000] {standard_task_runner.py:85} INFO - Job 179: Subtask kafka_data_stream
[2025-03-30T16:34:37.253+0000] {task_command.py:416} INFO - Running <TaskInstance: kafka_spark_dag.kafka_data_stream manual__2025-03-30T16:34:35.425466+00:00 [running]> on host a6934a850e84
[2025-03-30T16:34:37.343+0000] {taskinstance.py:1662} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='kafka_spark_dag' AIRFLOW_CTX_TASK_ID='kafka_data_stream' AIRFLOW_CTX_EXECUTION_DATE='2025-03-30T16:34:35.425466+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-03-30T16:34:35.425466+00:00'
[2025-03-30T16:34:37.345+0000] {kafka_producer_util.py:30} INFO - Attempting to use KafkaProducer class: <class 'kafka.producer.kafka.KafkaProducer'>
[2025-03-30T16:34:37.345+0000] {kafka_producer_util.py:31} INFO - Imported from module: kafka.producer.kafka
[2025-03-30T16:34:37.345+0000] {kafka_producer_util.py:34} INFO - Top-level kafka module path: /home/***/.local/lib/python3.8/site-packages/kafka/__init__.py
[2025-03-30T16:34:37.347+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka-server:9092 <connecting> [IPv4 ('172.20.0.5', 9092)]>: connecting to kafka-server:9092 [('172.20.0.5', 9092) IPv4]
[2025-03-30T16:34:37.348+0000] {conn.py:1205} INFO - Probing node bootstrap-0 broker version
[2025-03-30T16:34:37.349+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka-server:9092 <connecting> [IPv4 ('172.20.0.5', 9092)]>: Connection complete.
[2025-03-30T16:34:37.453+0000] {conn.py:1267} INFO - Broker version identified as 2.5.0
[2025-03-30T16:34:37.453+0000] {conn.py:1268} INFO - Set configuration api_version=(2, 5, 0) to skip auto check_version requests on startup
[2025-03-30T16:34:37.456+0000] {kafka_producer_util.py:48} INFO - KafkaProducer instantiated successfully.
[2025-03-30T16:34:38.256+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=kafka-server:9092 <connecting> [IPv4 ('172.20.0.5', 9092)]>: connecting to kafka-server:9092 [('172.20.0.5', 9092) IPv4]
[2025-03-30T16:34:38.257+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=kafka-server:9092 <connecting> [IPv4 ('172.20.0.5', 9092)]>: Connection complete.
[2025-03-30T16:34:38.257+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka-server:9092 <connected> [IPv4 ('172.20.0.5', 9092)]>: Closing connection. 
[2025-03-30T16:34:38.416+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.420+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.424+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.426+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.432+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.435+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.441+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.445+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.449+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.453+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.455+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.460+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.464+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.467+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.470+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.474+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.478+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.482+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.486+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.492+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.497+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.502+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.505+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.510+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.513+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.519+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.522+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.527+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.534+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.538+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.543+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.546+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.549+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.565+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.568+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.576+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.585+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.589+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.601+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.610+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.616+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.621+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.626+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.632+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.636+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.639+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.649+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.655+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.663+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.668+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.671+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.679+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.683+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.687+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.695+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.720+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.725+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
[2025-03-30T16:34:38.729+0000] {kafka_producer_util.py:98} INFO - Message sent to dev_api_data, partition 0
